Interpacket Timing,Device
0.005503,ihealth_bpm
0.024751,ihealth_bpm
0.005502,ihealth_bpm
0.027502,ihealth_bpm
0.005502,ihealth_bpm
0.01926,ihealth_bpm
0.005496,ihealth_bpm
0.022017,ihealth_bpm
0.005485,ihealth_bpm
0.013751,ihealth_bpm
0.005501,ihealth_bpm
0.024754,ihealth_bpm
0.00275,ihealth_bpm
0.027556,ihealth_bpm
0.012964,ihealth_bpm
0.005492,ihealth_bpm
0.016496,ihealth_bpm
0.005499,ihealth_bpm
0.043267,ihealth_bpm
0.005494,ihealth_bpm
0.019251,ihealth_bpm
0.005537,ihealth_bpm
0.010965,ihealth_bpm
0.013752,ihealth_bpm
0.005501,ihealth_bpm
0.022005,ihealth_bpm
0.005498,ihealth_bpm
0.022004,ihealth_bpm
0.016501,ihealth_bpm
0.0055,ihealth_bpm
0.019253,ihealth_bpm
0.0055,ihealth_bpm
0.013753,ihealth_bpm
0.005499,ihealth_bpm
0.016504,ihealth_bpm
0.0055,ihealth_bpm
0.030254,ihealth_bpm
0.005502,ihealth_bpm
0.016502,ihealth_bpm
0.0055,ihealth_bpm
0.011001,ihealth_bpm
0.005501,ihealth_bpm
0.027504,ihealth_bpm
0.027504,ihealth_bpm
0.005501,ihealth_bpm
0.027503,ihealth_bpm
0.005502,ihealth_bpm
0.002751,ihealth_bpm
0.0055,ihealth_bpm
0.016504,ihealth_bpm
0.005707,ihealth_bpm
0.016301,ihealth_bpm
0.005498,ihealth_bpm
0.027502,ihealth_bpm
0.005545,ihealth_bpm
0.027463,ihealth_bpm
0.005495,ihealth_bpm
0.033006,ihealth_bpm
0.022001,ihealth_bpm
0.005502,ihealth_bpm
0.030253,ihealth_bpm
0.005501,ihealth_bpm
0.011001,ihealth_bpm
0.005513,ihealth_bpm
0.019243,ihealth_bpm
0.005499,ihealth_bpm
0.013759,ihealth_bpm
0.005519,ihealth_bpm
0.027478,ihealth_bpm
0.024754,ihealth_bpm
0.005501,ihealth_bpm
0.027506,ihealth_bpm
0.022001,ihealth_bpm
0.005502,ihealth_bpm
0.01375,ihealth_bpm
0.005503,ihealth_bpm
0.02202,ihealth_bpm
0.005483,ihealth_bpm
0.013769,ihealth_bpm
0.005484,ihealth_bpm
0.024752,ihealth_bpm
0.005502,ihealth_bpm
0.016508,ihealth_bpm
0.005493,ihealth_bpm
